Element,Model,R2,RMSE,MAE
B,Ridge,0.12554917421456557,23.113217153627787,18.81115420042206
B,RandomForest,0.08772164699257223,23.607847354933483,18.738605929419574
C,Ridge,0.08522209688366489,49.486459779324505,42.44471774118079
C,RandomForest,0.09266537560858512,49.28472018356073,42.02123476758279
F,Ridge,0.11683930112803043,73.13928164422555,53.52005825814228
F,RandomForest,0.1591657127644156,71.36512481510533,50.26541593583088
H,Ridge,0.3296899468387976,26.586417168467527,13.441010041024848
H,RandomForest,0.5097148727244551,22.73768827341095,9.135925723089233
N,Ridge,0.052926179349690905,60.46878309812065,46.1198880417832
N,RandomForest,-0.16468056219032956,67.05678483730757,50.209993457126735
O,Ridge,0.16362815058032443,96.697769584016,83.59302627276945
O,RandomForest,0.17801713197326674,95.86236437610987,81.19407136437981
P,Ridge,0.23077679907062054,43.632217008632814,29.861979149014346
P,RandomForest,0.2468650076752399,43.17352473704478,29.0841504021293
