Element,Model,R2,RMSE,MAE,BestParams
B,Ridge,0.12183842212530693,23.162205970300633,18.94784725801815,{'ridge__alpha': 10.0}
B,RandomForest,0.0887587427664619,23.594424609037173,18.730587592738175,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
C,Ridge,0.0852254963302761,49.48636782982851,42.44485676642998,{'ridge__alpha': 100.0}
C,RandomForest,0.09265187520032214,49.28508684066314,42.02078181123228,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
F,Ridge,0.06729150035934661,75.16294541303965,55.9463143886286,{'ridge__alpha': 100.0}
F,RandomForest,0.1591657127644156,71.36512481510533,50.26541593583088,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
H,Ridge,0.26347629405578565,27.868610347983452,12.503644764937837,{'ridge__alpha': 100.0}
H,RandomForest,0.4727757370686636,23.578688376824843,9.459817946786202,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
N,Ridge,0.05236350833651704,60.48674314445547,46.074812872650085,{'ridge__alpha': 100.0}
N,RandomForest,-0.15748800459809575,66.84940749097339,50.045515195588806,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
O,Ridge,0.15963332805114838,96.92842671361883,83.29954643973949,{'ridge__alpha': 100.0}
O,RandomForest,0.17801713197326674,95.86236437610987,81.19407136437981,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
P,Ridge,0.23094919945448955,43.62732724940945,29.87352296761926,{'ridge__alpha': 100.0}
P,RandomForest,0.24789051725868316,43.14412101403631,29.10475766105876,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
